Plant,Style_CD,Activity,SAH,Pack_Unit,Pack_Qty,Size,Operation_code
95,PH1P08,VAP,0.15132,1,1,38B,60900
95,PH1P08,VAP,0.15132,1,1,36D,60900
96,UB9A,SEW,0.3168,X,1,S,60500
95,E1SP39,VAP,0.39624,6,6,7,60900
96,4B7Y99,VAP,0.37926,7,7,S,60900
95,PHJ128,VAP,0.1494,1,1,36B,60900
95,PHJ128,VAP,0.1494,1,1,38B,60900
95,PHJ128,VAP,0.1494,1,1,34D,60900
95,PHC372,VAP,0.1513,1,1,34C,60900
95,PHC372,VAP,0.1513,1,1,38D,60900
95,NBC372,SEW,1.6014,X,1,34B,60500
95,NBC372,SEW,1.790568,X,1,38B,60500
95,NBC372,SEW,1.790568,X,1,44B,60500
95,NBC372,SEW,1.790568,X,1,34DD,60500
96,PUK801,VAP,0.25392,4,4,L,60900
95,IEP388,VAP,0.26616,4,4,XL,60900
95,NP0006,SEW,0.66078,X,1,5,60500
95,NP0006,SEW,0.66078,X,1,8,60500
95,NP0009,SEW,0.66078,X,1,5,60500
96,B78Y99,VAP,0.37884,7,7,M,60900
95,30LT08,VAP,0.35952,7,7,10,60900
95,30LT09,VAP,0.35952,7,7,10,60900
95,TGBEBJ,SEW,0.2568,X,1,4,60500
95,TGBETC,SEW,0.2568,X,1,4,60500
95,TGBWBI,SEW,0.2671,X,1,4,60500
95,NBAU58,SEW,3.06,X,1,38C,60500
95,NBAUW8,SEW,3.06,X,1,36C,60500
95,NBAUW8,SEW,3.06,X,1,34D,60500
95,PHAU58,VAP,0.0021,1,1,36C,60900
95,NBAU78,SEW,2.88084,X,1,34A,60500
95,NBAU78,SEW,2.88084,X,1,36B,60500
96,844V32,VAP,0.17116,2,2,2XL,60900
95,IEP382,VAP,0.46872,6,6,S,60900
95,PH0056,VAP,0.1218,1,1,9,60900
95,45ES10,VAP,0.23868,3,3,8,60900
95,45ES10,VAP,0.23868,3,3,9,60900
95,91EL51,VAP,0.52056,9,9,12,60900
95,E492,SEW,0.30324,X,1,4,60500
95,E492AW,SEW,0.3114,X,1,9,60500
95,E492AX,SEW,0.3114,X,1,9,60500
95,E492AX,SEW,0.30324,X,1,4,60500
95,PHAU79,VAP,0.17322,1,1,32B,60900
95,PHAU79,VAP,0.17322,1,1,32C,60900
95,PHAU79,VAP,0.17322,1,1,34C,60900
95,NBAUW9,SEW,2.7452,X,1,36B,60500
95,NBAUW9,SEW,2.7452,X,1,34D,60500
95,NBAUW9,SEW,2.7452,X,1,34DD,60500
95,NBAUW9,SEW,2.7452,X,1,38DD,60500
95,NBAU79,SEW,2.7452,X,1,38DD,60500
95,NBAUE9,SEW,2.7452,X,1,32D,60500
95,NBAUE9,SEW,2.7452,X,1,34D,60500
95,NBAU12,SEW,3.179,X,1,36B,60500
95,NBAU12,SEW,3.179,X,1,34C,60500
95,NBAU12,SEW,3.179,X,1,40D,60500
95,PHMXP2,VAP,0.17328,1,1,32C,60900
95,PHMXP2,VAP,0.17328,1,1,36D,60900
